formatted_address,province,city,district,adcode,lng,lat,Name,keyword,lng_wgs84,lat_wgs84,height,location,Rate,备注
江苏省苏州市张家港市张家港市凤凰山景区,江苏省,SZ,张家港市,320582,120.646561,31.76873,张家港凤凰山景区,凤凰山,120.6423097,31.77081812,74,"120.646561,31.76873",4A,
江苏省苏州市虎丘区太湖国家湿地公园,江苏省,SZ,虎丘区,320505,120.359542,31.32421,苏州太湖国家湿地公园,苏州太湖国家湿地,120.3548781,31.32605699,1,"120.359542,31.32421",4A,
江苏省苏州市常熟市蒋巷,江苏省,SZ,常熟市,320581,120.96787,31.504674,常熟蒋巷乡村旅游景区,蒋巷,120.9635768,31.50670773,2,"120.96787,31.504674",4A,
江苏省淮安市清江浦区古淮河文化生态景区,江苏省,HA,清江浦区,320812,119.090455,33.61095,淮安古淮河文化生态景区,古淮河,119.084825,33.6122053,6,"119.090455,33.61095",4A,
江苏省淮安市盱眙县军军部纪念馆,江苏省,HA,盱眙县,320830,118.750159,32.88605,盱眙黄花塘新四军军部纪念馆,黄花塘,118.7448554,32.88793481,39,"118.750159,32.88605",4A,
江苏省淮安市淮安区淮安府署,江苏省,HA,淮安区,320803,119.14577,33.51078,淮安府署景区,淮安府署,119.1401974,33.51211805,9,"119.14577,33.51078",4A,
江苏省盐城市亭湖区新四军纪念馆,江苏省,YC,亭湖区,320902,120.161567,33.38966,盐城新四军纪念馆,盐城新四军,120.1566139,33.39107054,2,"120.161567,33.38966",4A,
江苏省扬州市广陵区茱萸湾风景区,江苏省,YZ,广陵区,321002,119.488737,32.43316,扬州茱萸湾风景区,茱萸湾,119.483455,32.43518349,15,"119.488737,32.43316",4A,
江苏省镇江市润州区历史文化街区,江苏省,ZJ,润州区,321111,119.430351,32.21548,镇江西津渡历史文化街区,西津渡,119.4249114,32.21736793,9,"119.430351,32.21548",4A,
江苏省泰州市姜堰区溱潼,江苏省,TZ,姜堰区,321204,120.083139,32.64218,姜堰溱潼古镇旅游区,溱潼,120.0781093,32.64399341,2,"120.083139,32.64218",4A,
江苏省南京市鼓楼区森林动物园,江苏省,NJ,鼓楼区,320106,118.799327,32.09528,南京红山森林动物园,红山,118.7941445,32.09736694,14,"118.799327,32.09528",4A,
江苏省南京市高淳区高淳老街,江苏省,NJ,高淳区,320118,118.869265,31.31952,南京高淳老街历史文化景区,高淳老街,118.8642867,31.3217043,17,"118.869265,31.31952",4A,
江苏省无锡市新吴区鸿山泰伯景区,江苏省,WX,新吴区,320214,120.488323,31.5492,无锡鸿山泰伯景区,泰伯,120.4838395,31.55110807,12,"120.488323,31.5492",4A,
江苏省无锡市宜兴市宜兴,江苏省,WX,宜兴市,320282,119.783866,31.251112,宜兴张公洞旅游景区,张公洞,119.7789385,31.253168,61,"119.783866,31.251112",4A,
江苏省徐州市新沂市新沂,江苏省,XZ,新沂市,320381,118.07264,34.176728,新沂窑湾古镇景区,窑湾,118.0668263,34.1778644,28,"118.07264,34.176728",4A,
江苏省常州市武进区环球动漫嬉戏谷,江苏省,CZ,武进区,320412,120.047263,31.50044,常州环球动漫嬉戏谷,嬉戏谷,120.0423663,31.50226701,13,"120.047263,31.50044",4A,
江苏省苏州市吴中区太湖旅游区,江苏省,SZ,吴中区,320506,120.444477,31.218901,苏州吴中太湖旅游区,吴中太湖,120.4398737,31.2207957,3,"120.444477,31.218901",5A,
江苏省苏州市太仓市现代农业园,江苏省,SZ,太仓市,320585,121.174596,31.54613,太仓现代农业园,太仓现代农业,121.1700504,31.54797393,1,"121.174596,31.54613",4A,
江苏省南通市如皋市水绘园景区,江苏省,NT,如皋市,320682,120.570074,32.3953,如皋水绘园景区,水绘园,120.565785,32.39751136,8,"120.570074,32.3953",4A,
江苏省南通市海门市国际家纺馆家纺产业旅游区,江苏省,NT,海门市,320684,121.083578,31.96522,海门叠石桥国际家纺馆·家纺产业旅游区,家纺,121.0789049,31.96701913,5,"121.083578,31.96522",4A,
江苏省南通市如皋市中国工农红军第十四军纪念馆,江苏省,NT,如皋市,320682,120.592057,32.38616,如皋中国工农红军第十四军纪念馆,第十四军,120.5877942,32.38838819,5,"120.592057,32.38616",4A,
